Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Golden State Warriors,27.7,6,1,6,1,17.29,-3.72,13.57,120.0,102.9,+17.1,99.8,.260,.455,.591,,.566,11.9,29.7,.186,,.471,14.2,72.4,.197,,Chase Center,54192,18064
2,Oklahoma City Thunder,24.1,7,0,6,1,17.43,-1.37,16.06,110.4,93.4,+17.0,102.6,.194,.425,.562,,.534,11.1,18.8,.152,,.452,17.4,74.8,.197,,Paycom Center,52383,17461
3,Boston Celtics,28.8,7,1,7,1,14.00,-2.98,11.02,122.6,108.7,+13.9,99.6,.259,.551,.602,,.564,10.3,25.1,.213,,.531,14.0,77.7,.159,,TD Garden,38312,19156
4,Cleveland Cavaliers,26.7,8,0,7,1,13.13,-2.31,10.82,121.5,108.5,+13.0,100.6,.231,.416,.630,,.609,11.3,19.2,.169,,.526,14.8,76.8,.204,,Rocket Mortgage Fieldhouse,77728,19432
5,Sacramento Kings,27.9,4,3,4,3,4.29,-3.92,0.36,115.9,111.7,+4.2,100.6,.285,.387,.595,,.551,12.2,21.8,.238,,.538,14.1,76.8,.207,,Golden 1 Center,34475,17238
6,Houston Rockets,24.4,4,3,4,3,4.14,3.37,7.51,114.5,110.3,+4.2,96.2,.254,.412,.526,,.486,9.9,31.6,.197,,.513,13.2,72.0,.245,,Toyota Center,70582,17646
7,New York Knicks,27.3,3,3,4,2,3.83,4.05,7.88,119.4,115.3,+4.1,94.5,.218,.365,.591,,.559,11.0,24.5,.176,,.567,12.2,77.7,.149,,Madison Square Garden (IV),39624,19812
8,Phoenix Suns,30.1,6,1,4,3,3.71,-0.22,3.49,114.2,110.5,+3.7,98.8,.315,.467,.602,,.559,13.2,18.5,.253,,.508,11.3,76.4,.186,,Footprint Center,68284,17071
9,Dallas Mavericks,27.6,4,3,4,3,3.29,-0.42,2.87,114.0,110.7,+3.3,98.9,.224,.407,.559,,.531,10.3,24.7,.167,,.508,12.5,73.7,.219,,American Airlines Center,99785,19957
10,Memphis Grizzlies,24.5,4,4,5,3,2.13,-4.72,-2.59,114.5,112.4,+2.1,102.3,.276,.364,.580,,.549,14.0,27.4,.204,,.536,13.0,74.4,.207,,FedEx Forum,63837,15959
11,Minnesota Timberwolves,28.0,4,3,4,3,2.00,-0.47,1.53,114.8,112.8,+2.0,97.3,.278,.494,.606,,.577,14.7,21.6,.207,,.518,11.3,74.8,.196,,Target Center,75912,18978
12,Denver Nuggets,27.0,4,3,4,3,1.71,-0.77,0.94,115.8,114.1,+1.7,99.2,.318,.334,.564,,.517,11.7,30.8,.252,,.538,13.1,74.4,.178,,Ball Arena,78704,19676
13,Miami Heat,27.8,3,3,3,3,1.17,-0.91,0.25,112.6,111.4,+1.2,96.5,.296,.435,.550,,.516,10.8,25.0,.212,,.518,13.1,71.9,.170,,Kaseya Center,78480,19620
14,Los Angeles Clippers,29.5,3,4,3,4,-0.14,5.35,5.21,110.0,110.1,-0.1,97.7,.253,.385,.557,,.528,14.7,28.1,.182,,.534,13.5,79.3,.211,,Intuit Dome,84608,16922
15,Brooklyn Nets,26.3,4,4,4,4,-0.25,-3.38,-3.63,114.3,114.6,-0.3,98.0,.265,.465,.589,,.554,13.2,21.3,.207,,.547,14.1,75.7,.295,,Barclays Center,89003,17801
16,San Antonio Spurs,25.7,3,4,3,4,-0.86,3.94,3.08,108.7,109.6,-0.9,96.6,.242,.420,.555,,.515,14.6,27.6,.199,,.512,12.5,75.8,.167,,Frost Bank Center,54491,18164
17,Los Angeles Lakers,28.5,4,3,3,4,-2.29,1.74,-0.55,115.2,117.4,-2.2,100.8,.342,.343,.583,,.532,12.0,22.7,.277,,.562,11.7,76.5,.168,,Crypto.com Arena,56991,18997
18,Indiana Pacers,25.7,3,4,3,4,-3.43,-0.11,-3.54,115.2,118.6,-3.4,99.8,.265,.367,.593,,.565,13.3,23.0,.193,,.533,11.1,71.3,.242,,Gainbridge Fieldhouse,34548,17274
19,Detroit Pistons,25.8,3,5,3,5,-3.25,1.46,-1.79,109.5,112.9,-3.4,97.0,.237,.415,.566,,.530,15.7,27.8,.190,,.538,11.2,80.6,.214,,Little Caesars Arena,76457,19114
20,Orlando Magic,24.8,3,5,3,5,-3.50,1.64,-1.86,104.8,108.3,-3.5,100.3,.305,.465,.536,,.493,13.4,21.4,.230,,.538,14.1,79.1,.203,,Kia Center,37933,18967
21,Chicago Bulls,25.5,3,4,3,4,-4.43,-2.69,-7.11,109.3,113.5,-4.2,105.2,.251,.471,.565,,.533,13.0,20.3,.190,,.535,10.1,79.6,.164,,United Center,59559,19853
22,Portland Trail Blazers,24.4,3,5,3,5,-4.88,1.71,-3.16,108.6,113.5,-4.9,99.6,.261,.368,.533,,.495,13.1,27.9,.199,,.536,13.4,72.1,.201,,Moda Center,69623,17406
23,Toronto Raptors,24.7,2,6,3,5,-5.63,-0.10,-5.73,114.8,120.2,-5.4,101.3,.266,.339,.565,,.530,14.1,32.9,.201,,.555,12.6,72.5,.304,,Scotiabank Arena,96842,19368
24,Milwaukee Bucks,30.3,1,6,2,5,-6.57,1.25,-5.32,110.8,117.3,-6.5,100.8,.278,.428,.581,,.551,13.2,18.2,.202,,.556,10.2,79.9,.190,,Fiserv Forum,35131,17566
25,Atlanta Hawks,24.6,3,5,3,5,-6.63,-0.05,-6.67,112.1,118.6,-6.5,102.8,.310,.420,.582,,.539,14.3,23.1,.244,,.555,13.3,72.2,.220,,State Farm Arena,76734,15347
26,Charlotte Hornets,25.7,2,5,2,5,-7.00,2.71,-4.29,113.1,120.2,-7.1,98.4,.218,.486,.561,,.532,14.1,30.0,.164,,.549,11.4,73.4,.265,,Spectrum Center,70025,17506
27,Philadelphia 76ers,29.1,1,5,2,4,-8.00,-2.58,-10.58,109.1,117.2,-8.1,97.9,.336,.431,.539,,.491,12.2,25.0,.256,,.574,16.1,72.0,.290,,Wells Fargo Center,59579,19860
28,New Orleans Pelicans,26.0,3,5,2,6,-8.38,0.04,-8.34,109.9,118.5,-8.6,98.0,.246,.366,.548,,.513,13.6,29.3,.189,,.570,13.4,72.1,.161,,Smoothie King Center,64151,16038
29,Washington Wizards,23.2,2,4,1,5,-9.50,3.72,-5.78,109.3,118.4,-9.1,104.0,.250,.429,.552,,.510,12.2,21.1,.205,,.551,11.9,71.7,.235,,Capital One Arena,84023,15924
30,Utah Jazz,24.8,1,6,1,6,-14.71,1.59,-13.13,103.2,117.6,-14.4,101.6,.320,.431,.531,,.478,16.2,27.6,.256,,.545,11.2,71.6,.160,,Delta Center,72700,18175
,League Average,26.5,,,4,4,0.00,0.00,0.00,113.0,113.0,,99.6,.268,.418,.570,,.534,12.9,25.0,.206,,.534,12.9,75.0,.206,,,65157,18078